title,genre,production_company,actors,description,votes,reviews_from_users,reviews_from_critics,director,weighted_average,IMDb Score,Information,title_lower
Cinderella,"Fantasy, Drama",Famous Players Film Company,"Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous","Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",908,10.0,3.0,,6.0969472801891476,6.1,"Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.Mary Pickford Owen Moore Isabel VernonFantasy, Dramanan",cinderella
,"Animation, Family, Fantasy",Walt Disney Productions,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.",135133,140.0,126.0,,7.08432127709049,7.3,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.Ilene Woods Eleanor Audley Verna FeltonAnimation, Family, Fantasynan",cinderella
,"Comedy, Musical",Charles Band Productions,"Cheryl Smith, Yana Nirvana, Marilyn Corwin, Jennifer Stace, Sy Richardson, Brett Smiley, Kirk Scott, Boris Moris, Pamela Stonebrook, Ray Myles, Brenda Fogarty, Elizabeth Halsey, Linda Gildersleeve, Robert Stone, Mariwin Roberts","An adaptation of the fairy tale, Cinderella traces the misadventures of our heroine, who, via the help of her ""fairy"" (i.e. gay) godmother, is granted heightened sexual prowess to win over ...",541,12.0,13.0,,6.095110043673202,6.0,"An adaptation of the fairy tale, Cinderella traces the misadventures of our heroine, who, via the help of her ""fairy"" (i.e. gay) godmother, is granted heightened sexual prowess to win over ...Cheryl Smith Yana Nirvana Marilyn CorwinComedy, Musicalnan",cinderella
,"Drama, Family, Fantasy",Allison Shearmur Productions,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter, Nonso Anozie, Stellan Skarsgård, Sophie McShera, Holliday Grainger, Derek Jacobi, Ben Chaplin, Hayley Atwell, Rob Brydon, Jana Pérez, Alex Macqueen, Tom Edden","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",147891,409.0,373.0,,6.766379903828899,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.Cate Blanchett Lily James Richard MaddenDrama, Family, Fantasynan",cinderella
Sherlock Holmes,Mystery,The Essanay Film Manufacturing Company,"William Gillette, Marjorie Kay, Ernest Maupain, Edward Fielding, Mario Majeroni, Grace Reals, William Postance, Stewart Robbins, Burford Hampden, Chester Beery, Frank Hamilton, Fred Malatesta, Leona Ball, Hugh Thompson, Ludwig Kreiss","When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.",290,10.0,16.0,Guy Ritchie,6.100775921471773,6.5,"When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.William Gillette Marjorie Kay Ernest MaupainMysteryGuy Ritchie",sherlock holmes
,"Drama, Mystery",Goldwyn Pictures Corporation,"John Barrymore, Roland Young, Carol Dempster, Gustav von Seyffertitz, Louis Wolheim, Percy Knight, William Powell, Hedda Hopper, Peggy Bayfield, Margaret Kemp, Anders Randolf, Robert Schable, Reginald Denny, David Torrence, Robert Fischer",A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.,526,17.0,14.0,Guy Ritchie,6.0916556760266065,5.8,"A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.John Barrymore Roland Young Carol DempsterDrama, MysteryGuy Ritchie",sherlock holmes
,Drama,Fox Film Corporation,"Clive Brook, Miriam Jordan, Ernest Torrence, Herbert Mundin, Reginald Owen, Howard Leeds, Alan Mowbray, C. Montague Shaw, Frank Atkinson, Ivan F. Simpson, Stanley Fields",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,115,10.0,7.0,Guy Ritchie,6.095313109417098,5.7,The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.Clive Brook Miriam Jordan Ernest TorrenceDramaGuy Ritchie,sherlock holmes
,"Action, Adventure, Crime",Warner Bros.,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,557059,667.0,423.0,Guy Ritchie,7.524364771745246,7.6,"Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.Robert Downey Jr. Jude Law Rachel McAdamsAction, Adventure, CrimeGuy Ritchie",sherlock holmes
Leap Year,Comedy,Paramount Pictures,"Roscoe 'Fatty' Arbuckle, Lucien Littlefield, Mary Thurman, John McKinnon, Clarence Geldart, Harriet Hammond, Allen Durnell, Gertrude Short, Winifred Greenwood, Maude Wayne","A young man, heir to his misogynistic and millionaire uncle, and in love with a nurse, gets in trouble when he gives advice on marriage to his girlfriends.",258,9.0,1.0,Anand Tucker,6.09688063408201,6.1,"A young man, heir to his misogynistic and millionaire uncle, and in love with a nurse, gets in trouble when he gives advice on marriage to his girlfriends.Roscoe 'Fatty' Arbuckle Lucien Littlefield Mary ThurmanComedyAnand Tucker",leap year
,"Comedy, Romance",Universal Pictures,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott, Mark O'Regan, Maggie McCarthy, Peter O'Meara, Macdara Ó Fátharta, Kaitlin Olson","Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",88159,233.0,137.0,Anand Tucker,6.398882223075666,6.5,"Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.Amy Adams Matthew Goode Adam ScottComedy, RomanceAnand Tucker",leap year
